settlement_date,nd
2009-01-07,53325
2009-01-07,55383
2009-01-07,57494
2009-01-07,58295
2009-01-07,57507
2009-01-07,56830
2009-01-07,55737
2009-01-07,54490
2009-01-07,53306
2009-01-07,51900
2009-01-07,50014
2009-01-07,48340
2009-01-07,46236
2009-01-07,43706
2009-01-07,41520
2009-01-07,39085
2009-01-07,37606
2009-01-08,38055
2009-01-08,37957
2009-01-08,37821
2009-01-08,37165
2009-01-08,36872
2009-01-08,37124
2009-01-08,36508
2009-01-08,35998
2009-01-08,35455
2009-01-08,35165
2009-01-08,35354
2009-01-08,36119
2009-01-08,39045
2009-01-08,42301
2009-01-08,46321
2009-01-08,48733
2009-01-08,49637
2009-01-08,49421
2009-01-08,50194
2009-01-08,50579
2009-01-08,50507
2009-01-08,50527
2009-01-08,50566
2009-01-08,50602
2009-01-08,50610
2009-01-08,50338
2009-01-08,50296
2009-01-08,49983
2009-01-08,50084
2009-01-08,49882
2009-01-08,49960
2009-01-08,50952
2009-01-08,53229
2009-01-08,56289
2009-01-08,57175
2009-01-08,56862
2009-01-08,56161
2009-01-08,55275
2009-01-08,53878
2009-01-08,52495
2009-01-08,51438
2009-01-08,49648
2009-01-08,47828
2009-01-08,45407
2009-01-08,43232
2009-01-08,41084
2009-01-08,38639
2009-01-08,37305
2009-01-09,37773
2009-01-09,37718
2009-01-09,37692
2009-01-09,37130
2009-01-09,36816
2009-01-09,37061
2009-01-09,36587
2009-01-09,35878
2009-01-09,35275
2009-01-09,35119
2009-01-09,35343
2009-01-09,36115
2009-01-09,38758
2009-01-09,42004
2009-01-09,46039
2009-01-09,48731
2009-01-09,49722
2009-01-09,49695
2009-01-09,50762
2009-01-09,51083
2009-01-09,51323
2009-01-09,51361
2009-01-09,51470
2009-01-09,51359
2009-01-09,51304
2009-01-09,50901
2009-01-09,50555
2009-01-09,50160
2009-01-09,49990
2009-01-09,49725
2009-01-09,49505
2009-01-09,50211
2009-01-09,52022
2009-01-09,55397
2009-01-09,56662
2009-01-09,56125
2009-01-09,55376
2009-01-09,54286
2009-01-09,52900
2009-01-09,51345
2009-01-09,49533
2009-01-09,47869
2009-01-09,46390
2009-01-09,44255
2009-01-09,42506
2009-01-09,41184
2009-01-09,39127
2009-01-09,38144
2009-01-10,38618
2009-01-10,38189
2009-01-10,37596
2009-01-10,36584
2009-01-10,36292
2009-01-10,36354
2009-01-10,35985
2009-01-10,35238
2009-01-10,34558
2009-01-10,34091
2009-01-10,33777
2009-01-10,33674
2009-01-10,34482
2009-01-10,35082
2009-01-10,35794
2009-01-10,36585
2009-01-10,38088
2009-01-10,40554
2009-01-10,43028
2009-01-10,44570
2009-01-10,45756
2009-01-10,46185
2009-01-10,46372
2009-01-10,46466
2009-01-10,46624
2009-01-10,46351
2009-01-10,46070
2009-01-10,45934
2009-01-10,45871
2009-01-10,45564
2009-01-10,45651
2009-01-10,46192
2009-01-10,47583
2009-01-10,50435
2009-01-10,51930
2009-01-10,51947
2009-01-10,50831
2009-01-10,49828
2009-01-10,48781
2009-01-10,47263
2009-01-10,45950
2009-01-10,44330
2009-01-10,42901
2009-01-10,41411
2009-01-10,39825
2009-01-10,38769
2009-01-10,37144
2009-01-10,36253
2009-01-11,36968
2009-01-11,36466
2009-01-11,35834
2009-01-11,34905
2009-01-11,34327
2009-01-11,34358
2009-01-11,33756
2009-01-11,32947
2009-01-11,32103
2009-01-11,31594
2009-01-11,31305
2009-01-11,31156
2009-01-11,31455
2009-01-11,31481
2009-01-11,31428
2009-01-11,31307
2009-01-11,32441
2009-01-11,34181
2009-01-11,36320
2009-01-11,38247
2009-01-11,40138
2009-01-11,41430
2009-01-11,42428
2009-01-11,43104
2009-01-11,43791
2009-01-11,44012
2009-01-11,43636
2009-01-11,43468
2009-01-11,43291
2009-01-11,43167
2009-01-11,43204
2009-01-11,44169
2009-01-11,46413
2009-01-11,48446
2009-01-11,49437
2009-01-11,48949
2009-01-11,48511
2009-01-11,47430
2009-01-11,46551
2009-01-11,45309
2009-01-11,44097
2009-01-11,43026
2009-01-11,41572
2009-01-11,39733
2009-01-11,38046
2009-01-11,36289
2009-01-11,34204
2009-01-11,33036
2009-01-12,33741
2009-01-12,33730
2009-01-12,33438
2009-01-12,32867
2009-01-12,32655
2009-01-12,32783
2009-01-12,32310
2009-01-12,31592
2009-01-12,31041
2009-01-12,30801
2009-01-12,31129
2009-01-12,32196
2009-01-12,35498
2009-01-12,38920
2009-01-12,43220
2009-01-12,45959
2009-01-12,47167
2009-01-12,47026
2009-01-12,47928
2009-01-12,48516
2009-01-12,48675
2009-01-12,48948
2009-01-12,49243
