Column_17,Column_16
east_west_flow,moyle_flow
0,-161
0,-160
0,-160
0,-160
0,-160
0,-160
0,-160
0,-160
0,-160
0,-160
0,-160
0,-128
0,38
0,18
0,16
0,16
0,15
0,-16
0,-61
0,-65
0,-65
0,-129
0,-180
0,-170
0,-246
0,-177
0,-65
0,-65
0,-65
0,-62
0,-20
0,-25
0,15
0,16
0,15
0,-31
0,-61
0,-65
0,-189
0,-234
0,-212
0,-239
0,-241
0,-241
0,-241
0,-181
0,-54
0,-40
0,-40
0,-169
0,-199
0,-86
0,41
0,41
0,-127
0,-162
0,-160
0,-154
0,-98
0,-88
0,-17
0,-17
0,-25
0,-25
0,-25
0,-25
0,-25
0,-25
0,-25
0,-74
0,-58
0,-61
0,-88
0,-137
0,-150
0,-119
0,-76
0,-46
0,-25
0,-25
0,-25
0,-25
0,-25
0,-25
0,-25
0,-27
0,-144
0,-170
0,-97
0,-108
0,-186
0,-201
0,-201
0,-147
0,-17
0,-66
0,-78
0,-51
0,-67
0,-17
0,-17
0,-17
0,-144
0,-201
0,-201
0,-195
0,-141
0,-99
0,40
0,41
0,39
0,-94
0,-159
0,-160
0,-160
0,-160
0,-160
0,-160
0,-160
0,-160
0,-160
0,-160
0,-160
0,-160
0,-154
0,-77
0,41
0,41
0,41
0,41
0,40
0,-21
0,-39
0,-39
0,39
0,41
0,40
0,-27
0,-131
0,-160
0,-144
0,-61
0,-144
0,-160
0,-163
0,-235
0,-191
0,-163
0,-179
0,-164
0,-201
0,-163
0,-160
0,-160
0,-160
0,-115
0,-33
0,-26
0,-17
0,-17
0,-16
0,-17
0,-16
0,-16
0,-17
0,-16
0,-16
0,-17
0,-16
0,-17
0,-35
0,-22
0,-17
0,-16
0,-17
0,-16
0,-17
0,-17
0,-17
0,-17
0,-17
0,-17
0,-17
0,-17
0,-55
0,-122
0,-187
0,-129
0,-66
0,-106
0,-187
0,-201
0,-201
0,-201
0,-201
0,-201
0,-201
0,-201
0,-201
0,-201
0,-201
0,-201
0,-200
0,-147
0,-17
0,-17
0,-25
0,-25
0,-25
0,-25
0,-25
0,-46
0,-35
0,-27
0,-25
0,-25
0,-25
0,-25
0,-110
0,-100
0,-98
0,-104
0,-25
0,-25
0,-25
0,-25
0,-25
0,-25
0,-25
0,-25
0,-17
0,-17
0,-17
0,-16
0,-143
0,-201
0,-198
0,-157
0,-175
0,-199
0,-201
0,-201
0,-201
0,-201
0,-201
0,-200
0,-201
0,-201
0,-201
0,-201
0,-201
0,-147
0,39
0,41
0,17
0,16
0,-64
0,16
0,16
0,16
0,16
0,16
0,16
0,16
0,16
0,16
0,16
0,16
0,16
0,16
0,16
0,16
0,16
0,16
0,16
0,16
0,16
0,17
0,41
0,41
0,41
0,41
0,-99
0,-110
0,-15
0,40
0,16
0,-79
0,36
0,41
0,41
0,41
0,41
0,41
0,-102
0,-121
0,-115
0,-74
0,41
0,41
0,41
0,41
0,17
0,16
0,-24
0,-24
0,16
0,16
0,16
0,16
0,16
0,16
0,16
0,16
0,16
0,16
0,16
0,17
0,41
0,41
0,41
0,41
0,36
0,41
0,41
0,41
0,41
0,41
0,41
0,41
0,-78
0,-101
0,-111
0,24
0,16
0,-116
0,-93
0,41
0,-31
0,41
0,41
0,41
0,-106
0,-160
0,-161
0,-111
0,41
0,41
0,41
0,41
0,17
0,-54
0,-129
0,-78
0,3
0,16
0,16
0,16
0,16
0,16
0,16
0,16
0,16
0,16
0,16
0,16
0,16
0,16
0,16
0,16
0,-17
0,-25
0,15
0,16
0,-20
0,-36
0,27
0,41
0,-103
0,-181
0,-118
0,-157
0,-152
0,-225
0,-201
0,-201
0,-163
0,-160
0,-160
0,-163
0,-227
0,-205
0,-201
0,-182
0,-161
0,-111
0,41
0,-32
0,16
0,16
0,-16
0,-85
0,-75
0,-114
0,-93
0,-105
0,-140
0,-70
0,-105
0,-143
0,-172
0,-50
0,16
0,16
0,16
0,16
0,16
0,16
0,-17
0,-25
0,15
0,-50
0,-182
0,-241
0,-241
0,-241
0,-293
0,-254
0,-226
0,-107
0,-40
0,-187
0,-274
0,-215
0,-247
0,-201
0,-201
0,-166
0,-218
0,-201
0,-164
0,-111
0,41
0,41
0,41
0,41
0,41
0,41
0,41
0,41
0,41
0,41
0,41
0,41
0,-15
0,-85
0,-146
0,-194
0,-140
0,-38
0,16
0,41
0,41
0,41
0,41
0,41
0,-28
0,-161
0,-150
0,-87
0,-201
0,-241
0,-241
0,-243
0,-318
0,-315
0,-321
0,-321
0,-321
0,-317
0,-321
0,-311
0,-241
0,-238
0,-163
0,-163
0,-201
0,-201
0,-238
0,-160
0,39
0,40
0,16
0,16
0,-32
0,-97
0,-127
0,-97
0,-16
0,-17
0,-38
0,-157
0,-189
0,-200
0,-201
0,-218
0,-260
0,-222
0,-201
0,-147
0,-20
0,-17
0,-17
0,-16
0,-76
0,-148
0,-181
0,-104
0,-223
0,-219
0,-235
0,-277
0,-281
0,-281
0,-281
0,-270
0,-201
0,-260
0,-201
0,-201
0,-201
0,-201
0,-201
0,-199
0,-201
0,-201
0,-201
0,-147
0,-17
0,-17
0,-17
0,-17
0,-54
0,-178
0,-226
0,-159
0,-25
0,-25
0,-25
0,-25
0,-25
0,-49
0,-80
0,-86
0,-90
0,-25
0,-25
0,-25
0,-25
0,-25
0,-25
0,-25
0,-25
0,-25
0,-25
0,-25
0,-75
0,-80
0,-80
0,-80
0,-143
0,-96
0,-88
0,-80
0,-176
0,-201
0,-201
0,-201
0,-201
0,-201
0,-201
0,-201
0,-201
0,-201
0,-201
0,-146
0,-17
0,-17
0,40
0,40
0,-89
0,-225
0,-337
0,-226
0,-108
0,-143
0,-145
0,-145
0,-120
