,nd,tsd
1050,45296,46245
1051,43026,43984
1052,41135,42194
1053,39317,40855
1054,37020,39144
1055,35804,37841
1056,36248,38346
1057,36195,38148
1058,36179,38261
1059,35561,37596
1060,35224,37200
1061,35326,37230
1062,34600,36548
1063,33515,35418
1064,32774,34635
1065,32587,34437
1066,32941,35390
1067,33849,36493
1068,36737,39602
1069,40120,42612
1070,44127,45587
1071,46543,47768
1072,47419,48588
1073,47389,48775
1074,48432,49630
1075,48438,49396
1076,48449,49376
1077,48417,49269
1078,48317,49364
1079,48296,49446
1080,48134,49296
1081,47492,48657
1082,47283,48440
1083,46693,47982
1084,46548,47964
1085,45934,47392
1086,45663,46615
1087,45972,46899
1088,47101,47897
1089,49738,50402
1090,52545,53149
1091,52407,53058
1092,51669,52331
1093,50917,51673
1094,49500,50405
1095,47966,48921
1096,46287,47244
1097,45063,46019
1098,43516,44472
1099,41433,42392
1100,40179,41275
1101,38945,40214
1102,37082,39139
1103,36400,38335
1104,36835,38818
1105,36611,38613
1106,36068,38177
1107,35289,37328
1108,34793,36827
1109,34711,36738
1110,34201,36222
1111,33061,35033
1112,32358,34309
1113,32032,34103
1114,31661,33589
1115,31607,33527
1116,32457,34365
1117,33210,34580
1118,34502,35111
1119,35470,36164
1120,37149,37913
1121,39364,40083
1122,41451,42060
1123,42457,43066
1124,43063,43688
1125,43448,44130
1126,43596,44363
1127,43534,44393
1128,43499,44421
1129,43065,43996
1130,42219,43149
1131,41924,42849
1132,41645,42566
1133,41042,41904
1134,40760,41603
1135,40781,41600
1136,41710,42494
1137,44913,45568
1138,48360,49032
1139,49197,49870
1140,48727,49407
1141,47568,48397
1142,46361,47306
1143,44902,45867
1144,43561,44524
1145,42065,43020
1146,40463,41396
1147,38860,39796
1148,37426,38295
1149,36309,37137
1150,34967,36294
1151,34220,36060
1152,35028,36729
1153,34507,36538
1154,33942,36000
1155,32873,34927
1156,32251,34233
1157,32285,34275
1158,31519,33426
1159,30741,32702
1160,29931,31900
1161,29492,31467
1162,29061,31023
1163,28768,30691
1164,29219,30981
1165,29462,31234
1166,29879,31704
1167,30018,31828
1168,31364,32593
1169,33219,34140
1170,35620,36271
1171,37646,38415
1172,39449,40204
1173,40635,41438
1174,41326,42169
1175,42043,42884
1176,42891,43773
1177,42938,43830
1178,42591,43484
1179,42253,43141
1180,41811,42696
1181,41598,42481
1182,41417,42300
1183,41848,42723
1184,42687,43483
1185,45172,45855
1186,47871,48495
1187,48177,48924
1188,47618,48479
1189,46612,47467
1190,45579,46488
1191,44577,45495
1192,43922,44837
1193,42667,43580
1194,41315,42234
1195,39639,40562
1196,38059,38981
1197,36614,37538
1198,34497,35966
1199,33281,35282
1200,33893,35693
1201,33886,35747
1202,33738,35505
1203,33324,35296
1204,33197,35254
1205,33369,35490
1206,32695,34805
1207,32039,34147
1208,31385,33465
1209,31197,33197
1210,31660,33328
1211,32904,34651
1212,36309,38016
1213,39798,41142
1214,44159,45566
1215,46521,48045
1216,47220,48807
1217,47282,48916
1218,48017,49651
1219,48366,50168
1220,48518,50422
1221,48590,50495
1222,48591,50594
1223,48671,50672
1224,48816,50814
1225,48285,50284
1226,47829,50068
1227,48060,50300
1228,48075,50313
1229,47813,50023
1230,47622,48791
1231,48320,49233
1232,49363,50214
1233,51855,52557
1234,54578,55210
1235,54512,55143
1236,53725,54353
1237,52879,53577
1238,51671,52507
1239,50406,51296
1240,48930,49818
1241,47177,48067
1242,45329,46208
1243,42907,43724
1244,40969,42054
1245,38742,40398
1246,36621,38852
1247,35290,37997
1248,35793,38527
1249,35729,38520
1250,35733,38412
1251,35148,37820
1252,34822,37423
1253,34912,37439
1254,34249,36975
1255,33406,36153
1256,32907,35651
1257,32645,35366
1258,32968,36595
1259,33936,37633
1260,37072,40770
1261,40598,43292
1262,45035,47132
1263,46834,49113
1264,47607,49970
1265,47555,49857
1266,48301,50463
1267,48451,50632
1268,48368,50640
1269,48313,50687
1270,48583,51085
1271,48711,51197
1272,48752,51198
1273,48405,50849
1274,48432,50892
1275,48302,50733
1276,48337,50764
1277,48046,50431
1278,47863,49095
1279,48786,49839
1280,50149,50786
1281,52698,53362
1282,55008,55632
1283,55032,55689
1284,54116,54761
1285,53228,53997
1286,51894,52831
1287,50603,52080
1288,49556,51095
1289,47597,49135
1290,45983,47526
1291,43504,45053
1292,41485,43379
1293,39342,41698
1294,36992,39443
1295,35563,38015
1296,36005,38382
1297,36001,38368
1298,35943,38305
1299,35258,37621
1300,34972,37393
1301,35095,37510
1302,34470,36957
1303,33552,36034
1304,32894,35367
1305,32787,35234
1306,33054,36330
1307,34051,37220
1308,37051,40441
1309,40541,43235
1310,44889,46855
1311,47428,49448
1312,47967,49933
1313,47718,49566
1314,48478,50352
1315,48642,50399
1316,48491,50077
1317,48513,50167
1318,48706,50277
1319,48750,50321
1320,48844,50414
1321,48581,50167
1322,48469,50455
1323,48542,50526
1324,48603,50502
1325,48273,49916
1326,48025,48895
1327,48869,49739
1328,50141,50948
1329,52236,52893
1330,54637,55216
1331,54529,55125
1332,53819,54441
1333,52761,53437
1334,51588,52451
1335,50506,51461
1336,49281,50264
1337,47115,48343
1338,45649,47181
1339,43368,44908
1340,41232,42958
1341,39372,41550
1342,36885,40301
1343,35685,39140
1344,36006,39473
1345,35937,39370
1346,35670,39093
1347,34940,38298
1348,34524,37866
1349,34582,37984
1350,33943,37337
1351,32917,36286
1352,32282,35667
1353,32073,35417
1354,32344,36023
1355,33371,37052
1356,36429,40102
1357,39857,43063
1358,44059,46346
1359,46276,48573
1360,47099,49381
1361,47046,49330
1362,47917,50195
1363,48154,50439
1364,48059,50346
1365,48183,50458
1366,48151,50724
1367,48150,50730
1368,48249,50830
1369,47989,50602
1370,48075,50729
1371,48033,50676
1372,47973,50552
1373,47581,50108
1374,47282,48582
1375,47995,49104
1376,49301,49957
1377,51339,51944
1378,54039,54644
1379,54180,54811
1380,53467,54100
1381,52664,53398
1382,51611,53079
1383,50508,52006
1384,49226,50685
1385,47318,48740
1386,45744,47456
1387,43397,45157
1388,41445,43465
1389,39316,41663
1390,37039,39040
1391,35670,37710
1392,36090,38080
1393,35955,37831
1394,35844,37877
1395,35205,37277
1396,34916,36897
1397,35187,37135
1398,34590,36518
1399,33671,35588
1400,32934,34845
1401,32815,34730
1402,33119,36217
1403,33973,36982
1404,36787,39932
1405,40145,42944
1406,44260,46283
1407,46064,47994
1408,46894,48927
1409,47196,48961
1410,48012,49522
1411,48244,49795
1412,48376,49965
1413,48428,50045
1414,48554,50178
1415,48582,50202
1416,48540,50202
1417,47956,49817
1418,47733,49575
1419,47362,49080
1420,47275,48968
1421,46832,48653
1422,46514,47387
1423,46954,47815
1424,47779,48522
1425,50095,50707
1426,52742,53352
1427,52723,53354
1428,52001,52708
1429,51181,51880
1430,49857,50709
1431,48277,49230
1432,46700,47650
1433,44790,45709
1434,43303,44254
1435,41350,42306
1436,39802,40759
1437,38456,39464
1438,36631,38446
1439,35536,37589
1440,35912,37932
1441,35606,37588
1442,35119,37104
1443,34203,36185
1444,33623,35597
1445,33597,35572
1446,33182,35166
1447,32314,34347
1448,31547,33605
1449,31077,33092
1450,30830,32777
1451,30817,33142
1452,31675,33865
1453,32486,33869
1454,33674,34285
1455,34379,35100
1456,36352,37118
1457,38393,39115
1458,40289,40894
1459,41198,41803
1460,41708,42312
1461,42108,42716
1462,42134,42742
1463,42090,42749
1464,42028,42699
1465,41449,42170
1466,40882,41641
1467,40469,41201
1468,40709,41391
1469,40234,40868
1470,40451,41189
1471,40856,41624
1472,41643,42368
1473,43969,44588
1474,47612,48186
1475,48793,49496
1476,48300,49093
1477,47556,48291
1478,46363,47215
1479,44954,45804
1480,43641,44560
1481,41960,42887
1482,40570,41421
1483,39228,40105
1484,37901,38826
1485,37090,37949
1486,35613,36635
1487,34849,36053
1488,35542,36496
1489,35304,36437
1490,34804,36147
1491,33815,35235
1492,33301,34682
1493,33402,34845
1494,32950,35156
1495,32205,34691
1496,31442,33833
1497,30994,33402
1498,30440,32941
1499,30263,32742
1500,30677,33059
1501,30847,33205
1502,31204,33089
1503,31116,33005
1504,32488,34429
1505,34629,36278
1506,37233,37907
1507,39374,39993
1508,40972,41652
1509,41924,42667
1510,42878,43676
1511,43501,44357
1512,44363,45228
1513,44473,45414
1514,44025,44901
1515,43783,44570
1516,43875,44554
1517,43494,44128
1518,43470,44245
1519,43886,44743
1520,44466,45242
1521,45919,46558
1522,48592,49224
1523,49488,50122
1524,49708,50418
1525,48903,49596
1526,47973,48801
1527,46928,47789
1528,46207,47139
1529,45043,45987
1530,43738,44681
1531,41795,42739
1532,40205,41146
1533,38233,39178
1534,36024,37757
1535,34785,37459
1536,35577,38057
1537,35581,38002
1538,35472,38088
1539,34989,37692
1540,34771,37517
1541,35087,37818
1542,34827,37555
1543,34049,36761
1544,33537,36243
1545,33443,36135
1546,33783,36341
1547,34577,36953
1548,37580,39786
1549,41099,42652
1550,44794,45516
1551,46509,47277
1552,47556,48448
1553,48532,49481
1554,49632,50512
1555,50415,51356
1556,50758,51722
1557,51084,52046
1558,51397,52360
1559,51769,52729
1560,52224,53184
1561,51981,52941
1562,51850,52798
1563,51651,52532
1564,51866,52744
1565,51624,52502
1566,51029,51907
1567,51310,52204
1568,51600,52378
1569,52970,53607
1570,55526,56150
1571,55645,56272
1572,54857,55492
1573,54171,54807
1574,52973,53764
1575,51210,52180
1576,49622,50595
1577,48118,49087
1578,46431,47399
1579,44039,45007
1580,41878,42849
1581,40034,41346
1582,37468,39856
1583,36332,38747
1584,36951,39440
1585,37177,39549
1586,37142,39674
1587,36643,39206
1588,36445,39089
1589,36768,39414
1590,36557,39137
1591,35856,38496
1592,35230,37849
1593,34977,37572
1594,35193,38890
1595,36065,39597
1596,38742,41671
1597,41536,43660
1598,44984,46592
1599,46375,48102
1600,47446,49273
1601,48585,50481
1602,50052,51793
1603,50702,52329
1604,50918,52411
1605,51238,52480
1606,51364,52580
1607,51381,52599
1608,51550,52778
1609,51247,52550
1610,50932,52463
1611,50552,51984
1612,50622,52057
1613,50433,52006
1614,50256,51187
1615,50535,51496
1616,50931,51693
1617,52083,52692
1618,55007,55610
1619,55793,56426
1620,55212,55883
1621,54700,55358
1622,53458,54265
1623,51929,52911
1624,50820,51800
1625,49102,50084
1626,47376,48357
1627,44882,45863
1628,42599,43585
1629,40433,41527
1630,37948,40048
1631,36923,39588
1632,37481,40184
1633,37641,40333
1634,37653,40355
1635,37205,39876
1636,36936,39541
1637,37392,40098
1638,36891,39724
1639,36139,38912
1640,35550,38382
1641,35378,38445
1642,35569,39420
1643,36559,40182
1644,39553,42880
1645,42790,44924
1646,46799,48459
1647,48287,50084
1648,48944,50792
1649,49171,51369
1650,50353,52526
1651,50789,52821
1652,50748,52458
1653,50561,52247
1654,50624,52312
1655,50539,52211
1656,50499,52168
1657,49961,51980
1658,49896,52044
1659,49756,51891
1660,49894,52029
